Sno. ,EVENT ID,,,,,,NAME ,,,,,,,,,,,,,,,,,,,,,,,DISTRICT ,,,,,TIME AND DATE,,
1,eventid1,\N,\N,\N,\N,\N,Sohail,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,25-04-2024 15:23,\N,\N
2,eventid2,\N,\N,\N,\N,\N,Sahil,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,25-04-2024 15:23,\N,\N
3,eventid3,\N,\N,\N,\N,\N,Sohail,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,25-04-2024 15:50,\N,\N
4,eventid4,\N,\N,\N,\N,\N,Sahil,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,25-04-2024 15:50,\N,\N
5,eventid5,\N,\N,\N,\N,\N,Sohail,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,25-04-2024 16:05,\N,\N
6,eventid6,\N,\N,\N,\N,\N,Sahil,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,25-04-2024 16:05,\N,\N
7,EVT002,\N,\N,\N,\N,\N,SHANKAR-S2,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,north,\N,\N,\N,\N,01-05-2024 12:48,\N,\N
8,EVT004,\N,\N,\N,\N,\N,SHANKAR-S4,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,north,\N,\N,\N,\N,01-05-2024 12:48,\N,\N
9,EVT006,\N,\N,\N,\N,\N,SHANKAR-S6,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,north,\N,\N,\N,\N,01-05-2024 12:48,\N,\N
10,EVT006,\N,\N,\N,\N,\N,AMANRAJ-A6,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,south,\N,\N,\N,\N,01-05-2024 12:48,\N,\N
